2000101,"2000-01-01",2000,1,1,"6",52
2000102,"2000-01-02",2000,1,2,"0",52
2000103,"2000-01-03",2000,1,3,"1",1
2000104,"2000-01-04",2000,1,4,"2",1
2000105,"2000-01-05",2000,1,5,"3",1
2000106,"2000-01-06",2000,1,6,"4",1
2000107,"2000-01-07",2000,1,7,"5",1
2000108,"2000-01-08",2000,1,8,"6",1
2000109,"2000-01-09",2000,1,9,"0",1
2000110,"2000-01-10",2000,1,10,"1",2
2000111,"2000-01-11",2000,1,11,"2",2
2000112,"2000-01-12",2000,1,12,"3",2
2000113,"2000-01-13",2000,1,13,"4",2
2000114,"2000-01-14",2000,1,14,"5",2
2000115,"2000-01-15",2000,1,15,"6",2
2000116,"2000-01-16",2000,1,16,"0",2
2000117,"2000-01-17",2000,1,17,"1",3
2000118,"2000-01-18",2000,1,18,"2",3
2000119,"2000-01-19",2000,1,19,"3",3
2000120,"2000-01-20",2000,1,20,"4",3
2000121,"2000-01-21",2000,1,21,"5",3
2000122,"2000-01-22",2000,1,22,"6",3
2000123,"2000-01-23",2000,1,23,"0",3
2000124,"2000-01-24",2000,1,24,"1",4
2000125,"2000-01-25",2000,1,25,"2",4
2000126,"2000-01-26",2000,1,26,"3",4
2000127,"2000-01-27",2000,1,27,"4",4
2000128,"2000-01-28",2000,1,28,"5",4
2000129,"2000-01-29",2000,1,29,"6",4
2000130,"2000-01-30",2000,1,30,"0",4
2000131,"2000-01-31",2000,1,31,"1",5
2000201,"2000-02-01",2000,2,1,"2",5
2000202,"2000-02-02",2000,2,2,"3",5
2000203,"2000-02-03",2000,2,3,"4",5
2000204,"2000-02-04",2000,2,4,"5",5
2000205,"2000-02-05",2000,2,5,"6",5
2000206,"2000-02-06",2000,2,6,"0",5
2000207,"2000-02-07",2000,2,7,"1",6
2000208,"2000-02-08",2000,2,8,"2",6
2000209,"2000-02-09",2000,2,9,"3",6
2000210,"2000-02-10",2000,2,10,"4",6
2000211,"2000-02-11",2000,2,11,"5",6
2000212,"2000-02-12",2000,2,12,"6",6
2000213,"2000-02-13",2000,2,13,"0",6
2000214,"2000-02-14",2000,2,14,"1",7
2000215,"2000-02-15",2000,2,15,"2",7
2000216,"2000-02-16",2000,2,16,"3",7
2000217,"2000-02-17",2000,2,17,"4",7
2000218,"2000-02-18",2000,2,18,"5",7
2000219,"2000-02-19",2000,2,19,"6",7
2000220,"2000-02-20",2000,2,20,"0",7
2000221,"2000-02-21",2000,2,21,"1",8
2000222,"2000-02-22",2000,2,22,"2",8
2000223,"2000-02-23",2000,2,23,"3",8
2000224,"2000-02-24",2000,2,24,"4",8
2000225,"2000-02-25",2000,2,25,"5",8
2000226,"2000-02-26",2000,2,26,"6",8
2000227,"2000-02-27",2000,2,27,"0",8
2000228,"2000-02-28",2000,2,28,"1",9
2000229,"2000-02-29",2000,2,29,"2",9
2000301,"2000-03-01",2000,3,1,"3",9
2000302,"2000-03-02",2000,3,2,"4",9
2000303,"2000-03-03",2000,3,3,"5",9
2000304,"2000-03-04",2000,3,4,"6",9
2000305,"2000-03-05",2000,3,5,"0",9
2000306,"2000-03-06",2000,3,6,"1",10
2000307,"2000-03-07",2000,3,7,"2",10
2000308,"2000-03-08",2000,3,8,"3",10
2000309,"2000-03-09",2000,3,9,"4",10
2000310,"2000-03-10",2000,3,10,"5",10
2000311,"2000-03-11",2000,3,11,"6",10
2000312,"2000-03-12",2000,3,12,"0",10
2000313,"2000-03-13",2000,3,13,"1",11
2000314,"2000-03-14",2000,3,14,"2",11
2000315,"2000-03-15",2000,3,15,"3",11
2000316,"2000-03-16",2000,3,16,"4",11
2000317,"2000-03-17",2000,3,17,"5",11
