1,2019408,2,10,9,25767,4392
2,2017927,2,10,1,2863,488
3,2019910,5,9,8,71768,2864
4,2018117,6,2,4,6260,1800
5,2017117,4,2,10,15650,4500
6,2020119,10,8,2,8148,1942
7,2018304,10,6,1,5868,573
8,2017910,1,3,8,17104,3048
9,2017728,5,3,10,21380,3810
10,2019724,7,7,8,32072,6496
11,2019926,1,3,1,2138,381
12,2020103,3,8,3,12222,2913
13,2018729,359,47,1,8102,217
14,2017012,696,10,6,17178,2928
15,2017220,662,33,8,69248,56
16,2020402,292,27,2,16658,170
17,2018919,325,5,2,11714,448
18,2019501,433,26,6,29796,4464
19,2018617,169,29,7,16184,4305
20,2020711,377,30,1,9196,418
21,2018327,388,44,4,15596,176
22,2020126,833,4,4,11112,3248
23,2020519,727,16,4,38204,3956
24,2017325,762,34,7,15645,6174
25,2018030,504,26,6,29796,4464
26,2017103,172,2,10,15650,4500
27,2020502,585,26,5,24830,3720
28,2018304,703,25,10,44600,7770
29,2019512,700,26,5,24830,3720
30,2019903,686,16,8,76408,7912
31,2020027,125,20,6,25104,2790
32,2018016,946,42,6,37206,2640
33,2018202,76,11,3,13410,486
34,2018227,388,35,2,16422,1568
35,2017111,735,32,1,9553,990
36,2018531,636,13,2,20474,1256
37,2017109,936,32,4,38212,3960
38,2017429,783,42,3,18603,1320
39,2020731,837,41,4,10660,888
40,2017330,780,8,2,8148,1942
41,2018110,929,9,3,26913,1074
42,2018113,433,38,4,37060,1132
43,2017227,586,45,4,14200,436
44,2017814,659,12,5,5275,500
45,2019227,95,9,10,89710,3580
46,2017007,738,20,4,16736,1860
47,2018627,1,45,9,31950,981
48,2020625,734,22,1,655,204
49,2018415,926,8,4,16296,3884
50,2017103,207,1,6,24246,4818
51,2017501,254,47,10,81020,2170
52,2020330,378,50,4,36224,3664
53,2018904,599,27,6,49974,510
54,2020827,825,3,4,8552,1524
55,2019903,990,24,4,40120,2544
56,2018808,757,36,2,8038,592
57,2020430,795,6,3,17604,1719
58,2019830,748,1,7,28287,5621
59,2017204,128,39,1,10137,408
60,2020731,791,32,7,66871,6930
61,2017118,127,25,7,31220,5439
62,2017220,516,36,5,20095,1480
63,2020118,507,36,1,4019,296
64,2019019,611,21,4,4784,2064
65,2018027,192,33,5,43280,35
66,2018111,38,3,10,21380,3810
67,2019707,83,41,5,13325,1110
68,2019411,696,42,7,43407,3080
69,2017722,672,5,5,29285,1120
70,2018925,100,7,2,8018,1624
71,2020221,48,35,4,32844,3136
72,2018022,207,2,4,6260,1800
73,2018119,871,30,6,55176,2508
74,2019411,25,40,8,57960,7320
75,2019822,214,10,7,20041,3416
76,2020719,70,7,10,40090,8120
77,2019119,310,29,3,6936,1845
78,2017823,593,5,3,17571,672
79,2018321,156,44,3,11697,132
80,2018206,758,6,2,11736,1146
81,2017029,741,37,9,80262,3222
82,2020219,16,1,4,16164,3212
83,2018131,836,8,6,24444,5826
84,2019615,377,46,8,21784,296
85,2020518,680,31,7,29421,6517
86,2020518,877,40,7,50715,6405
87,2018321,439,22,5,3275,1020
88,2017714,532,48,8,38848,1936
89,2020003,754,38,1,9265,283
90,2019807,771,33,7,60592,49
91,2018305,837,24,10,100300,6360
92,2019224,50,12,10,10550,1000
93,2018223,233,35,7,57477,5488
94,2019721,475,23,2,12814,1716
95,2018113,493,29,9,20808,5535
96,2017715,723,20,2,8368,930
97,2017119,231,39,7,70959,2856
98,2019120,60,7,8,32072,6496
99,2019205,605,16,1,9551,989
100,2017201,656,25,2,8920,1554
101,2017427,588,17,5,31690,2085
102,2018227,687,8,9,36666,8739
103,2019103,237,13,8,81896,5024
104,2017001,1000,4,2,5556,1624
105,2019205,379,1,2,8082,1606
106,2017707,177,21,9,10764,4644
107,2017114,929,43,4,37768,3676
108,2017201,12,44,7,27293,308
109,2018225,878,21,10,11960,5160
110,2017713,704,23,10,64070,8580
111,2017207,502,35,3,24633,2352
112,2019406,805,9,8,71768,2864
113,2017704,468,22,9,5895,1836
114,2020724,369,47,1,8102,217
115,2020504,139,13,9,92133,5652
116,2019221,947,12,2,2110,200
117,2019013,808,19,6,54732,3648
118,2017005,143,29,8,18496,4920
119,2018311,541,17,1,6338,417
120,2017917,859,29,5,11560,3075
121,2018015,581,50,4,36224,3664
122,2017418,566,15,6,6708,4296
123,2019919,418,26,2,9932,1488
124,2016904,209,27,2,16658,170
125,2019712,482,47,3,24306,651
126,2020502,229,42,5,31005,2200
127,2019701,115,17,3,19014,1251
128,2019003,957,32,7,66871,6930
129,2019922,831,42,2,12402,880
130,2019101,809,47,4,32408,868
131,2018530,390,33,4,34624,28
132,2020422,682,46,10,27230,370
133,2019621,490,21,7,8372,3612
134,2019929,629,17,9,57042,3753
135,2020402,903,14,8,65760,192
136,2020508,577,46,4,10892,148
137,2019122,424,50,9,81504,8244
138,2018725,92,16,6,57306,5934
139,2017810,746,13,3,30711,1884
140,2019418,66,40,6,43470,5490
141,2019808,503,21,10,11960,5160
142,2019203,614,21,7,8372,3612
143,2020706,39,22,3,1965,612
144,2019317,664,8,2,8148,1942
145,2018407,858,37,5,44590,1790
146,2018803,648,15,9,10062,6444
147,2016912,245,21,5,5980,2580
148,2020106,884,40,10,72450,9150
149,2020728,76,13,8,81896,5024
150,2020819,707,5,10,58570,2240
151,2019513,781,35,4,32844,3136
152,2017822,921,8,8,32592,7768
153,2019403,183,10,7,20041,3416
154,2018428,153,22,8,5240,1632
155,2020203,187,5,1,5857,224
156,2019513,304,44,2,7798,88
157,2017601,784,48,1,4856,242
158,2019210,698,23,9,57663,7722
159,2018902,426,12,10,10550,1000
160,2016928,183,39,4,40548,1632
161,2020814,754,6,4,23472,2292
162,2020003,207,22,5,3275,1020
163,2018125,712,20,2,8368,930
164,2019426,169,15,4,4472,2864
165,2018722,947,25,10,44600,7770
166,2017123,394,32,5,47765,4950
167,2019630,796,38,6,55590,1698
168,2020807,239,8,8,32592,7768
169,2017226,183,34,7,15645,6174
170,2020720,675,44,3,11697,132
171,2020704,661,30,10,91960,4180
172,2018212,614,27,9,74961,765
173,2019430,815,32,9,85977,8910
174,2017611,157,36,10,40190,2960
175,2020212,194,3,7,14966,2667
176,2020120,587,38,2,18530,566
177,2017924,630,43,2,18884,1838
178,2020706,457,9,4,35884,1432
179,2019211,482,7,8,32072,6496
